"Transaction ID","Date","Subsidiary","Unit of Measure Type","Unit of Measure","acctNumber","internal id","account name","department id","location","Amount","Line Units"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90001","418","ADR","1","4","178.14","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90004","421","Comps","1","4","1.00","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90002","419","Occy","1","4","100.00","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90005","424","OOS","1","4","","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90003","420","RevPAR","1","4","172.57","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90009","789","Rooms Available","1","4","32.00","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90006","423","Rooms Sold","1","4","32.00","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90002","419","Occy","1","4","0.0","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90001","418","ADR","1","4","0.00","EA"
"03/25/2025 WRH","03/25/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels, Inc.","statistical","Each","90003","420","RevPAR","1","4","0.00","EA"
