"Transaction ID","Date","Subsidiary","Unit of Measure Type","Unit of Measure","acctNumber","internal id","account name","department id","location","Amount","Line Units"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90001","418","ADR","1","20","280.19","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90004","421","Comps","1","20","","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90002","419","Occy","1","20","80.00","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90005","424","OOS","1","20","2.00","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90003","420","RevPAR","1","20","224.15","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90009","789","Rooms Available","1","20","35.00","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90006","423","Rooms Sold","1","20","28.00","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90002","419","Occy","1","20","0.0","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90001","418","ADR","1","20","0.00","EA"
"07/14/2025 WRH","07/14/2025","Parent Company : Warren Family Hotels : Warren Resort Hotels of Coronado, Inc.","statistical","Each","90003","420","RevPAR","1","20","0.00","EA"
