Rec Id,Src Acct Code,Src Acct Desc,Xref Key,Acct Id,Property Id,Property Name,Acct Code,Acct Suffix,Acct Name,Multiplier,Created,Updated
1,1,RM CHG   tax%,,216,0,,40110-634,18,Revenue - Direct Booking,1.00,01/07/2021,02/24/2021
2,6C,BAL FWD CREDIT,,0,0,,,,,1.00,01/07/2021,11/21/2023
3,6D,BAL FWD DEBIT,,0,0,,,,,1.00,01/07/2021,11/21/2023
4,71,ADV DEP BAL FWD,,0,0,,,,,1.00,01/07/2021,01/07/2021
5,72,ADV DEP CONTROL,,0,0,,,,,1.00,01/07/2021,03/17/2021
6,7A,ADV DEP AMEX,GstPMSAX,0,0,,,,,-1.00,01/07/2021,03/24/2021
7,7C,ADV DEP CASH,GstCash,0,0,,,,,-1.00,01/07/2021,03/24/2021
8,7G,ADV DEP DINERS,GstPMSDI,0,0,,,,,-1.00,01/07/2021,03/24/2021
9,7H,ADV DEP CHECK,GstCheck,0,0,,,,,-1.00,01/07/2021,03/24/2021
10,7I,ADV DEP DISC,GstPMSDV,0,0,,,,,-1.00,01/07/2021,03/24/2021
11,7P,ADV Prepaid Dep,GstWire,0,0,,,,,-1.00,01/07/2021,07/06/2021
12,7T,GUEST ADV TRANS,,0,0,,,,,-1.00,01/07/2021,03/23/2021
13,7V,ADV DEP VISA,GstPMSMCV,0,0,,,,,-1.00,01/07/2021,03/24/2021
14,8A,REFUND AD AMEX,GstPMSAX,0,0,,,,,-1.00,01/07/2021,03/24/2021
15,8C,REFUND AD CASH,GstCash,0,0,,,,,-1.00,01/07/2021,03/24/2021
16,8D,REFUND AD DINER,GstPMSDI,0,0,,,,,-1.00,01/07/2021,03/24/2021
17,8H,REFUND AD CK,GstCheck,0,0,,,,,-1.00,01/07/2021,03/24/2021
18,8I,REFUND AD DISCV,GstPMSDI,0,0,,,,,-1.00,01/07/2021,03/24/2021
19,8P,REFUND PREPAID,GstWire,0,0,,,,,-1.00,01/07/2021,03/24/2021
20,8V,REFUND AD VISA,GstPMSMCV,0,0,,,,,-1.00,01/07/2021,03/24/2021
21,9,ROOM TAX,,455,0,,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/07/2021,10/16/2023
22,92,misc SALES TAX,,455,15,Best Western Windsor Inn,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/07/2021,10/21/2024
23,93,ADJ ROOM TAX,,455,0,,20103-662,,Tax Payable: Tourist Tax Payable,1.00,01/07/2021,04/06/2021
24,AA,adjust AMEX,GstPMSAX,0,0,,,,,-1.00,01/07/2021,02/09/2021
25,AD,adjust DINERS,GstPMSDI,0,0,,,,,-1.00,01/07/2021,02/09/2021
26,ADVANCE DEPOSITS,ADVANCE DEPOSITS,AdvDepSysBal,0,0,,,,,1.00,01/07/2021,01/07/2021
27,AI,adjust DISCOVER,GstPMSDV,0,0,,,,,-1.00,01/07/2021,02/09/2021
29,AN,ADJ RM NO TAX,,216,0,,40110-634,18,Revenue - Direct Booking,1.00,01/07/2021,03/02/2021
30,AP,ADJ PHONE CHGS,,0,0,,,,,1.00,01/07/2021,03/19/2021
31,AR,ADJ RM CHG + TX,,216,0,,40110-634,18,Revenue - Direct Booking,1.00,01/07/2021,03/02/2021
32,AV,adjust VISA/MC,GstPMSMCV,0,0,,,,,-1.00,01/07/2021,02/09/2021
33,AX,PAYMENT AMEX,GstPMSAX,0,0,,,,,-1.00,01/07/2021,02/09/2021
35,CH,PAYMENT CASH,GstCash,0,0,,,,,-1.00,01/07/2021,02/09/2021
37,CITY LEDGER,CITY LEDGER,CitySysBal,0,0,,,,,1.00,01/07/2021,02/03/2022
38,CK,PAYMENT CHECK,GstCheck,0,0,,,,,-1.00,01/07/2021,02/09/2021
39,CP,COMMISION PHONE,,0,0,,,,,1.00,01/07/2021,03/19/2021
40,CR,REFUND CASH,GstCash,0,0,,,,,-1.00,01/07/2021,02/09/2021
41,D1,DB BAL FWD,,0,0,,,,,1.00,01/07/2021,01/07/2021
42,D2,DB CONTROL,,0,0,,,,,1.00,01/07/2021,03/23/2021
43,DA,DB PAID AMEX,GstPMSAX,0,0,,,,,-1.00,01/07/2021,12/01/2021
44,DB,DIRECT BILLING,,0,0,,,,,-1.00,01/07/2021,03/24/2021
45,DC,PAYMENT DISCVR,GstPMSDV,0,0,,,,,-1.00,01/07/2021,02/09/2021
46,DD,DB DEBIT,,0,0,,,,,1.00,01/07/2021,03/23/2021
47,DH,DB PYMT CHECK,GstCheck,0,0,,,,,-1.00,01/07/2021,03/24/2021
48,DI,DB PAID DINERS,GstPMSDI,0,0,,,,,-1.00,01/07/2021,06/21/2021
51,DJ,adj DIRECT BILL,,0,0,,,,,-1.00,01/07/2021,12/13/2021
52,DN,PAYMENT DINERS,GstPMSDI,0,0,,,,,-1.00,01/07/2021,02/09/2021
53,DR,DB PAID DISCVR,GstPMSDV,0,0,,,,,-1.00,01/07/2021,06/21/2021
54,DV,DB PAID VS/MC,GstPMSMCV,0,0,,,,,-1.00,01/07/2021,06/21/2021
55,DW,DB WRITEOFF,GstWire,438,0,,66000-371,,Bad Debt,-1.00,01/07/2021,10/19/2021
57,FC,FORFEIT CHARGE,,0,0,,,,,1.00,01/07/2021,01/07/2021
58,FX,FAX / COPY,,0,0,,,,,1.00,01/07/2021,03/19/2021
59,GUEST LEDGER,GUEST LEDGER,GstSysBal,0,0,,,,,1.00,01/07/2021,01/07/2021
60,LA,PHONE ADMIN,,0,0,,,,,1.00,01/07/2021,12/30/2021
61,LC,LOCAL CALLS,,0,0,,,,,1.00,01/07/2021,03/19/2021
62,LD,LONG DIST CALLS,,0,0,,,,,1.00,01/07/2021,03/19/2021
63,LL,PHONE LOSS (LD),,0,0,,,,,1.00,01/07/2021,03/11/2022
64,LN,ROOM NOT CHARGE,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
65,LS,LAUNDRY SERVICE,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
66,MA,misc.ADJ TAXBLE,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
67,MN,misc. charge non-taxable,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
68,MS,misc.CHG TAXBLE,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
69,MV,IN ROOM MOVIE,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
70,MX,misc-ADJ NO TAX,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
71,RC,RM CHG + TAX,,216,0,,40110-634,18,Revenue - Direct Booking,1.00,01/07/2021,02/04/2021
72,RD,RATE DISCOUNT,,216,0,,40110-634,18,Revenue - Direct Booking,1.00,01/07/2021,02/04/2021
73,RK,REFUND CHECK,GstCheck,0,0,,,,,-1.00,01/07/2021,02/09/2021
74,RN,RM CHG NO TAX,,216,0,,40110-634,18,Revenue - Direct Booking,1.00,01/07/2021,03/02/2021
75,SC,SERVICE CHARGE,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
76,VI,VENDING INCOME,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
78,VS,PAYMENT VS/MC,GstPMSMCV,0,0,,,,,-1.00,01/07/2021,02/09/2021
79,X1,ROLLAWAY,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,01/07/2021
80,X2,CRIB,,332,0,,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,10/16/2023
81,X3,EXTRA PERSON,,332,9,Lakeside Lodge & Suites,40120-635,,Revenues : Other Revenue,1.00,01/07/2021,11/22/2021
